Date,Q
2012062700,0
2012062701,0
2012062702,0
2012062703,0
2012062704,0
2012062705,0
2012062706,0
2012062707,0
2012062708,0
2012062709,0
2012062710,0
2012062711,0
2012062712,0
2012062713,0
2012062714,0
2012062715,0
2012062716,0
2012062717,0
2012062718,0
2012062719,0
2012062720,0
2012062721,0
2012062722,0
2012062723,0
2012062800,0
2012062801,0
2012062802,0
2012062803,0
2012062804,0
2012062805,0
2012062806,0
2012062807,0
2012062808,0
2012062809,0
2012062810,0
2012062811,0
2012062812,0
2012062813,0
2012062814,0
2012062815,0
2012062816,0
2012062817,0
2012062818,0
2012062819,0
2012062820,0
2012062821,0
2012062822,0
2012062823,0
2012062900,0
2012062901,0
2012062902,0
2012062903,0
2012062904,0
2012062905,0
2012062906,0
2012062907,0
2012062908,0
2012062909,0
2012062910,0
2012062911,0
2012062912,0
2012062913,0
2012062914,0
2012062915,0
2012062916,0
2012062917,0
2012062918,0
2012062919,0
2012062920,0
2012062921,0
2012062922,0
2012062923,0
2012063000,0
2012063001,0
2012063002,0
2012063003,0
2012063004,0
2012063005,0
2012063006,0
2012063007,0
2012063008,0
2012063009,0
2012063010,0
2012063011,0
2012063012,0
2012063013,0
2012063014,0
2012063015,0
2012063016,0
2012063017,0
2012063018,0
2012063019,0
2012063020,0
2012063021,0
2012063022,0
2012063023,0
2012070100,0
2012070101,0
2012070102,0
2012070103,0
2012070104,0
2012070105,0
2012070106,0
2012070107,0
2012070108,0
2012070109,0
2012070110,0
2012070111,0
2012070112,0
2012070113,0
2012070114,0
2012070115,0
2012070116,0
2012070117,0
2012070118,0
2012070119,0
2012070120,0
2012070121,0
2012070122,0
2012070123,0
2012070200,0
2012070201,0
2012070202,0
2012070203,0
2012070204,0
2012070205,0
2012070206,0
2012070207,0
2012070208,10.4
2012070209,10.4
2012070210,10.4
2012070211,10.4
2012070212,13
2012070213,13
2012070214,13
2012070215,13
2012070216,13
2012070217,13
2012070218,13
2012070219,13
2012070220,13
2012070221,12.56666667
2012070222,12.13333333
2012070223,11.7
2012070300,11.26666667
2012070301,10.83333333
2012070302,10.4
2012070303,10.4
2012070304,10.4
2012070305,10.4
2012070306,10.4
2012070307,10.4
2012070308,10.4
2012070309,10.07333333
2012070310,9.746666667
2012070311,9.42
2012070312,9.093333333
2012070313,8.766666667
2012070314,8.44
2012070315,8.44
2012070316,8.44
2012070317,8.44
2012070318,8.44
2012070319,8.44
2012070320,8.44
2012070321,9.808333333
2012070322,11.17666667
2012070323,12.545
2012070400,13.91333333
2012070401,47.6
2012070402,80.075
2012070403,158
2012070404,164
2012070405,201.5
2012070406,382.5714286
2012070407,588.5
2012070408,646
2012070409,755.8
2012070410,879.75
2012070411,891
2012070412,948.8
2012070413,959
2012070414,891
2012070415,789
2012070416,588
2012070417,532
2012070418,472
2012070419,450
2012070420,424
2012070421,377
2012070422,330
2012070423,314.5
2012070500,299
2012070501,284.5
2012070502,270
2012070503,262.3333333
2012070504,254.6666667
2012070505,247
2012070506,240.3333333
2012070507,233.6666667
2012070508,227
2012070509,199.3333333
2012070510,171.6666667
2012070511,144
2012070512,143
2012070513,122.5
2012070514,102
2012070515,102
2012070516,102
2012070517,102
2012070518,102
2012070519,102
2012070520,102
2012070521,100.1833333
2012070522,98.36666667
2012070523,96.55
2012070600,94.73333333
2012070601,92.91666667
2012070602,91.1
2012070603,87.75
2012070604,84.4
2012070605,81.05
2012070606,77.7
2012070607,74.35
2012070608,71
2012070609,68.65
2012070610,66.3
2012070611,63.95
2012070612,61.6
2012070613,59.25
2012070614,56.9
2012070615,55.23333333
2012070616,53.56666667
2012070617,51.9
2012070618,50.23333333
2012070619,48.56666667
2012070620,46.9
2012070621,45.73333333
2012070622,44.56666667
2012070623,43.4
2012070700,42.23333333
2012070701,41.06666667
2012070702,39.9
2012070703,38.48333333
2012070704,37.06666667
2012070705,35.65
2012070706,34.23333333
2012070707,32.81666667
2012070708,31.4
2012070709,30.31666667
2012070710,29.23333333
2012070711,28.15
2012070712,27.06666667
2012070713,25.98333333
2012070714,24.9
2012070715,24.9
2012070716,24.9
2012070717,24.9
2012070718,24.9
2012070719,24.9
2012070720,24.9
2012070721,24.9
2012070722,24.9
2012070723,24.9
2012070800,24.9
2012070801,24.9
2012070802,24.9
2012070803,24.9
2012070804,24.9
2012070805,24.9
2012070806,24.9
2012070807,24.9
2012070808,24.9
2012070809,28.8
2012070810,32.7
2012070811,36.6
2012070812,36.6
2012070813,36.6
2012070814,36.6
2012070815,36.23333333
2012070816,35.86666667
2012070817,35.5
2012070818,35.13333333
2012070819,34.76666667
2012070820,34.4
2012070821,34.23333333
2012070822,34.06666667
2012070823,33.9
2012070900,33.73333333
2012070901,33.56666667
2012070902,33.4
2012070903,31.55
2012070904,29.7
2012070905,27.85
2012070906,26
2012070907,24.15
2012070908,22.3
2012070909,0
2012070910,0
2012070911,0
2012070912,0
2012070913,0
2012070914,0
2012070915,0
2012070916,0
2012070917,0
2012070918,0
2012070919,0
2012070920,0
2012070921,0
2012070922,0
2012070923,0